n_id	n_type	s_description	s_entityName	n_cd	n_loot_cd	n_all_money	n_hp	n_loot_min	n_loot_max	s_pos
ATM id	类型	备注	entity配置	复活cd（秒）	掉钱cd（秒）	金钱总额	血量	掉钱数额下限	掉钱数额上限	位置朝向
1	1	atm02	myplugin/atm02	120	0.5	48000	1	4000	8000	-115.82, 30.16, 93.27#0,0,0
2	1	atm02	myplugin/atm02	120	0.5	48000	1	4000	8000	-65.85, 30.16, 105.51#0,90,0
3	1	atm02	myplugin/atm02	120	0.5	48000	1	4000	8000	7.72, 30.16, 106.97#0,0,0
4	1	atm02	myplugin/atm02	120	0.5	48000	1	4000	8000	44.40, 30.16, 115.53#0,0,0
5	1	atm02	myplugin/atm02	120	0.5	48000	1	4000	8000	75.54, 30.19, 61.99#0,270,0
6	1	atm02	myplugin/atm02	120	0.5	48000	1	4000	8000	77.53, 30.16, 19.93#0,270,0
7	1	atm02	myplugin/atm02	120	0.5	48000	1	4000	8000	112.97, 30.16, 57.42#0,180,0
8	1	atm02	myplugin/atm02	120	0.5	48000	1	4000	8000	77.22, 30.19, -6.62#0,0,0
9	1	atm02	myplugin/atm02	120	0.5	48000	1	4000	8000	77.93, 30.16, 85.42#0,90,0
10	1	atm02	myplugin/atm02	120	0.5	48000	1	4000	8000	-6.87, 30.22, 31.99#0,180,0
11	1	atm01	myplugin/atm01	120	0.5	96000	1	8000	16000	-46.06, 30.18, -20.43#0,30,0
12	1	atm01	myplugin/atm01	120	0.5	96000	1	8000	16000	-6.86, 30.19, 55.97#0,0,0
13	1	atm01	myplugin/atm01	120	0.5	96000	1	8000	16000	1.78, 30.17, -21.39#0,90,0
14	1	atm01	myplugin/atm01	120	0.5	96000	1	8000	16000	-111.57, 30.16, 69.58#0,180,0
15	1	atm01	myplugin/atm01	120	0.5	96000	1	8000	16000	27.11, 30.19, 35.59#0,270,0
16	1	atm01	myplugin/atm01	120	0.5	96000	1	8000	16000	-29.45, 30.18, 92.80#0,0,0
