n_id	s_description	s_reborn	s_door	s_closet	s_armory	s_vault	s_garage	s_took_kit	s_closet_effect	s_armory_effect	s_vault_effect	s_took_kit_effect	s_park	s_carposition	s_doorplate
堡垒id	备注	复活点	门	衣柜	武器库	金库	车库	工具箱	衣柜特效	武器库特效	金库特效	工具箱特效	停车位	汽车生成点	门牌
20		154.99,30.67,79.79#0,345,0	145.35,30.65,80.13#0,90,0	146.7,30,85.32#0,90,0	149.04,30,89.51#0,270,0	146.35,30,88.56#0,90,0	145.4,30,76.48#0,90,0	153.51,30,88.78#0,180,0	145.8,32,85.32#0,0,0	149.04,30,89.51#0,270,0	145.8,31.88,88.56#0,180,0	153,31.65,89.7#0,90,0	140.35,30,75.13	140.35,30,85.13	145.03,33,84.13#0,90,0
1		-13.4,30.67,110.94#0,345,0	-22.04,30.2,111.65#0,90,0	-20.69,29.55,116.84#0,90,0	-18.35,29.55,121.03#0,270,0	-21.04,29.55,120.08#0,90,0	-21.94,29.55,108#0,90,0	-13.88,29.55,120.3#0,180,0	-21.59,31.55,116.84#0,0,0	-18.35,29.55,121.03#0,270,0	-21.59,31.43,120.08#0,180,0	-14.39,31.2,121.22#0,90,0	-27.04,30,106.65	-27.04,30,116.65	-22.36,33,115.65#0,90,0
12		81.93,30.67,131.09#0,345,0	73.29,30.2,131.8#0,90,0	74.64,29.55,136.99#0,90,0	76.98,29.55,141.18#0,270,0	74.29,29.55,140.23#0,90,0	73.39,29.55,128.15#0,90,0	81.45,29.55,140.45#0,180,0	73.74,31.55,136.99#0,0,0	76.98,29.55,141.18#0,270,0	73.74,31.43,140.23#0,180,0	80.94,31.2,141.37#0,90,0	68.29,30,126.8	68.29,30,136.8	73.14,33,135.8#0,90,0
19		155.13,30.67,55.51#0,345,0	145.49,30.65,55.85#0,90,0	146.84,30,61.04#0,90,0	149.18,30,65.23#0,270,0	146.49,30,64.28#0,90,0	145.54,30,52.2#0,90,0	153.65,30,64.5#0,180,0	145.94,32,61.04#0,0,0	149.18,30,65.23#0,270,0	145.94,31.88,64.28#0,180,0	153.14,31.65,65.42#0,90,0	140.49,30,50.85	140.49,30,60.85	145.17,33,59.85#0,90,0
29		-93.508,30.67,131.334#0,345,0	-102.148,30.2,132.044#0,90,0	-100.798,29.55,137.234#0,90,0	-98.458,29.55,141.424#0,270,0	-101.148,29.55,140.474#0,90,0	-102.048,29.55,128.394#0,90,0	-93.988,29.55,140.694#0,180,0	-101.698,31.55,137.234#0,0,0	-98.458,29.55,141.424#0,270,0	-101.698,31.43,140.474#0,180,0	-94.498,31.2,141.614#0,90,0	-107.148,30,127.044	-107.148,30,137.044	-102.298,33,136.044#0,90,0
11		70.634,30.67,112.95#0,345,0	61.994,30.2,113.66#0,90,0	63.344,29.55,118.85#0,90,0	65.684,29.55,123.04#0,270,0	62.994,29.55,122.09#0,90,0	62.094,29.55,110.01#0,90,0	70.154,29.55,122.31#0,180,0	62.444,31.55,118.85#0,0,0	65.684,29.55,123.04#0,270,0	62.444,31.43,122.09#0,180,0	69.644,31.2,123.23#0,90,0	56.994,30,108.66	56.994,30,118.66	61.844,33,117.66#0,90,0
4		28.83,30.67,106.18#0,345,0	20.19,30.2,106.89#0,90,0	21.54,29.55,112.08#0,90,0	23.88,29.55,116.27#0,270,0	21.19,29.55,115.32#0,90,0	20.29,29.55,103.24#0,90,0	28.35,29.55,115.54#0,180,0	20.64,31.55,112.08#0,0,0	23.88,29.55,116.27#0,270,0	20.64,31.43,115.32#0,180,0	27.84,31.2,116.46#0,90,0	15.19,30,101.89	15.19,30,111.89	19.87,33,110.89#0,90,0
21		109.42,30.67,71.95#0,165,0	119.06,30.65,71.61#0,270,0	117.71,30,66.42#0,270,0	115.37,30,62.23#0,90,0	118.06,30,63.18#0,270,0	119.01,30,75.26#0,270,0	110.9,30,62.96#0,0,0	118.61,32,66.42#0,180,0	115.37,30,62.23#0,90,0	118.61,31.88,63.18#0,0,0	111.41,31.65,62.04#0,270,0	124.06,30,66.61	124.06,30,76.61	119.38,33,67.61#0,270,0
24		-93.4,30.67,107.29#0,165,0	-84.76,30.2,106.58#0,270,0	-86.11,29.55,101.39#0,270,0	-88.45,29.55,97.2#0,90,0	-85.76,29.55,98.15#0,270,0	-84.86,29.55,110.23#0,270,0	-92.92,29.55,97.93#0,0,0	-85.21,31.55,101.39#0,180,0	-88.45,29.55,97.2#0,90,0	-85.21,31.43,98.15#0,0,0	-92.41,31.2,97.01#0,270,0	-79.76,30,101.58	-79.76,30,111.58	-84.44,33,102.58#0,270,0
