n_id	s_description	n_part	b_is_tattoo	s_skin_data	s_icon_boy	s_icon_girl	n_price	n_currency_type
服装id	备注	部位 1.头 2脸 3上身 4下身 5脚	是否是纹身	皮肤数据	图标	图标	价格	货币id
40001		1	0	custom_hair=g2055_costume_01	gameres|asset/Imageset/g2055_clothing:custom_hair_g2055_costume_01	gameres|asset/Imageset/g2055_clothing:custom_hair_g2055_costume_01	0	3
40002		2	0	custom_face=g2055_costume_01	gameres|asset/Imageset/g2055_clothing:custom_face_g2055_costume_01_boy	gameres|asset/Imageset/g2055_clothing:custom_face_g2055_costume_01_girl	0	3
40003		3	0	clothes_tops=g2055_costume_01	gameres|asset/Imageset/g2055_clothing:clothes_tops_g2055_costume_01	gameres|asset/Imageset/g2055_clothing:clothes_tops_g2055_costume_01	0	3
40004		4	0	clothes_pants=g2055_costume_01	gameres|asset/Imageset/g2055_clothing:clothes_pants_g2055_costume_01	gameres|asset/Imageset/g2055_clothing:clothes_pants_g2055_costume_01	0	3
40005		5	0	custom_shoes=g2055_costume_01	gameres|asset/Imageset/g2055_clothing:custom_shoes_g2055_costume_01	gameres|asset/Imageset/g2055_clothing:custom_shoes_g2055_costume_01	0	3
40006		3	1	clothes_tops=g2055_costume_01_tattoo_01	gameres|asset/Imageset/g2055_clothing:clothes_tops_g2055_costume_01_tattoo_01	gameres|asset/Imageset/g2055_clothing:clothes_tops_g2055_costume_01_tattoo_01	100000	3
40011		1	0	custom_hair=g2055_costume_02	gameres|asset/Imageset/g2055_clothing:custom_hair_g2055_costume_02	gameres|asset/Imageset/g2055_clothing:custom_hair_g2055_costume_02	5000	3
40012		2	0	custom_face=g2055_costume_02	gameres|asset/Imageset/g2055_clothing:custom_face_g2055_costume_02_boy	gameres|asset/Imageset/g2055_clothing:custom_face_g2055_costume_02_girl	5000	3
40013		3	0	clothes_tops=g2055_costume_02	gameres|asset/Imageset/g2055_clothing:clothes_tops_g2055_costume_02	gameres|asset/Imageset/g2055_clothing:clothes_tops_g2055_costume_02	40000	3
40014		4	0	clothes_pants=g2055_costume_02_tattoo_01	gameres|asset/Imageset/g2055_clothing:clothes_pants_g2055_costume_02	gameres|asset/Imageset/g2055_clothing:clothes_pants_g2055_costume_02	40000	3
40015		5	0	custom_shoes=g2055_costume_02	gameres|asset/Imageset/g2055_clothing:custom_shoes_g2055_costume_02	gameres|asset/Imageset/g2055_clothing:custom_shoes_g2055_costume_02	10000	3
40016		3	1	clothes_tops=g2055_costume_02_tattoo_01	gameres|asset/Imageset/g2055_clothing:clothes_tops_g2055_costume_02_tatoo_01	gameres|asset/Imageset/g2055_clothing:clothes_tops_g2055_costume_02_tatoo_01	200000	3
40021		1	0	custom_hair=g2055_costume_03	gameres|asset/Imageset/g2055_clothing:custom_hair_g2055_costume_03	gameres|asset/Imageset/g2055_clothing:custom_hair_g2055_costume_03	15000	3
40022		2	0	custom_face=g2055_costume_03	gameres|asset/Imageset/g2055_clothing:custom_face_g2055_costume_01_boy	gameres|asset/Imageset/g2055_clothing:custom_face_g2055_costume_01_girl	15000	3
40023		3	0	clothes_tops=g2055_costume_03	gameres|asset/Imageset/g2055_clothing:clothes_tops_g2055_costume_03	gameres|asset/Imageset/g2055_clothing:clothes_tops_g2055_costume_03	120000	3
40024		4	0	clothes_pants=g2055_costume_03	gameres|asset/Imageset/g2055_clothing:clothes_pants_g2055_costume_03	gameres|asset/Imageset/g2055_clothing:clothes_pants_g2055_costume_03	120000	3
40025		5	0	custom_shoes=g2055_costume_03	gameres|asset/Imageset/g2055_clothing:custom_shoes_g2055_costume_03	gameres|asset/Imageset/g2055_clothing:custom_shoes_g2055_costume_03	30000	3
40031		1	0	custom_hair=g2055_costume_04	gameres|asset/Imageset/g2055_clothing:custom_hair_g2055_costume_04	gameres|asset/Imageset/g2055_clothing:custom_hair_g2055_costume_04	100000	3
40032		2	0	custom_face=g2055_costume_04	gameres|asset/Imageset/g2055_clothing:custom_face_g2055_costume_01_boy	gameres|asset/Imageset/g2055_clothing:custom_face_g2055_costume_01_girl	100000	3
40033		3	0	clothes_tops=g2055_costume_04	gameres|asset/Imageset/g2055_clothing:clothes_tops_g2055_costume_04	gameres|asset/Imageset/g2055_clothing:clothes_tops_g2055_costume_04	800000	3
