n_level	n_exp	s_reward_free	s_icon_free	s_reward_gold	s_icon_gold	n_price
通行证等级	升级所需经验	普通档奖励类型#ID#数量	物品图标	付费档奖励类型#ID#数量	物品图标	付费升级所需金魔方
1	100	1#901001#1000	gameres|asset/Imageset/g2055_icon:icon_0_money01	4#40006#1	gameres|asset/Imageset/g2055_clothing:clothes_tops_g2055_costume_01_tattoo_01	30
2	200	1#901001#3000	gameres|asset/Imageset/g2055_icon:icon_0_money01	6#1002#1	gameres|asset/Imageset/g2055_action:g2055_paidmotion_1	30
3	300	5#101002#1	gameres|asset/Imageset/g2055_weapons:g2055_melee_punch	5#101008#1	gameres|asset/Imageset/g2055_weapons:g2055_tigerpaw	30
4	400	1#901001#6000	gameres|asset/Imageset/g2055_icon:icon_0_money01	1#901001#20000	gameres|asset/Imageset/g2055_icon:icon_0_money01	30
5	500	6#1001#1	gameres|asset/Imageset/g2055_action:g2055_paidmotion_6	6#1003#1	gameres|asset/Imageset/g2055_action:g2055_paidmotion_2	30
6	600	4#40011#1	gameres|asset/Imageset/g2055_clothing:custom_hair_g2055_costume_02	3#60001#1	gameres|asset/Imageset/g2055_car:g2055_vehicle_halei	30
7	700	1#901001#10000	gameres|asset/Imageset/g2055_icon:icon_0_money01	1#901001#20000	gameres|asset/Imageset/g2055_icon:icon_0_money01	30
8	800	1#901001#10000	gameres|asset/Imageset/g2055_icon:icon_0_money01	6#1004#1	gameres|asset/Imageset/g2055_action:g2055_paidmotion_3	30
9	900	3#60011#1	gameres|asset/Imageset/g2055_car:g2055_vehicle_pika	4#40023#1	gameres|asset/Imageset/g2055_clothing:clothes_tops_g2055_costume_03	30
10	1000	1#901001#10000	gameres|asset/Imageset/g2055_icon:icon_0_money01	1#901001#20000	gameres|asset/Imageset/g2055_icon:icon_0_money01	30
11	1000	1#901001#10000	gameres|asset/Imageset/g2055_icon:icon_0_money01	6#1005#1	gameres|asset/Imageset/g2055_action:g2055_paidmotion_4	30
12	1000	5#101003#1	gameres|asset/Imageset/g2055_weapons:g2055_machete	4#40024#1	gameres|asset/Imageset/g2055_clothing:clothes_pants_g2055_costume_03	30
13	1000	1#901001#15000	gameres|asset/Imageset/g2055_icon:icon_0_money01	1#901001#30000	gameres|asset/Imageset/g2055_icon:icon_0_money01	30
14	1000	1#901001#15000	gameres|asset/Imageset/g2055_icon:icon_0_money01	6#1006#1	gameres|asset/Imageset/g2055_action:g2055_paidmotion_5	30
15	1000	4#40012#1	gameres|asset/Imageset/g2055_clothing:custom_face_g2055_costume_02_boy	5#101009#1	gameres|asset/Imageset/g2055_weapons:g2055_peaky	30
16	1000	1#901001#15000	gameres|asset/Imageset/g2055_icon:icon_0_money01	1#901001#30000	gameres|asset/Imageset/g2055_icon:icon_0_money01	30
17	1000	1#901001#15000	gameres|asset/Imageset/g2055_icon:icon_0_money01	1#901001#30000	gameres|asset/Imageset/g2055_icon:icon_0_money01	30
18	1000	4#40015#1	gameres|asset/Imageset/g2055_clothing:custom_shoes_g2055_costume_02	4#40021#1	gameres|asset/Imageset/g2055_clothing:custom_hair_g2055_costume_03	30
19	1000	1#901001#20000	gameres|asset/Imageset/g2055_icon:icon_0_money01	1#901001#40000	gameres|asset/Imageset/g2055_icon:icon_0_money01	30
20	1000	1#901001#20000	gameres|asset/Imageset/g2055_icon:icon_0_money01	1#901001#40000	gameres|asset/Imageset/g2055_icon:icon_0_money01	30
21	1000	5#101006#1	gameres|asset/Imageset/g2055_weapons:g2055_hammer	4#40022#1	gameres|asset/Imageset/g2055_clothing:custom_face_g2055_costume_01_boy	30
22	1000	1#901001#20000	gameres|asset/Imageset/g2055_icon:icon_0_money01	1#901001#40000	gameres|asset/Imageset/g2055_icon:icon_0_money01	30
23	1000	1#901001#20000	gameres|asset/Imageset/g2055_icon:icon_0_money01	1#901001#40000	gameres|asset/Imageset/g2055_icon:icon_0_money01	30
24	1000	4#40014#1	gameres|asset/Imageset/g2055_clothing:clothes_pants_g2055_costume_02	4#40025#1	gameres|asset/Imageset/g2055_clothing:custom_shoes_g2055_costume_03	30
25	1000	1#901001#25000	gameres|asset/Imageset/g2055_icon:icon_0_money01	1#901001#50000	gameres|asset/Imageset/g2055_icon:icon_0_money01	30
26	1000	1#901001#25000	gameres|asset/Imageset/g2055_icon:icon_0_money01	1#901001#50000	gameres|asset/Imageset/g2055_icon:icon_0_money01	30
27	1000	4#40013#1	gameres|asset/Imageset/g2055_clothing:clothes_tops_g2055_costume_02	5#102002#1	gameres|asset/Imageset/g2055_weapons:g2055_goldAK	30
28	1000	1#901001#25000	gameres|asset/Imageset/g2055_icon:icon_0_money01	1#901001#50000	gameres|asset/Imageset/g2055_icon:icon_0_money01	30
29	1000	1#901001#25000	gameres|asset/Imageset/g2055_icon:icon_0_money01	1#901001#50000	gameres|asset/Imageset/g2055_icon:icon_0_money01	30
30	1000	5#102001#1	gameres|asset/Imageset/g2055_weapons:g2055_pistol	3#60021#1	gameres|asset/Imageset/g2055_car:g2055_vehicle_baoshijie	30
