id	remark	key	sound	loop	volume
id	备注	对应Key值	音频文件 (放在myplugin/sound/文件夹啊内)	是否循环播放（0为否，1为是）	音量大小（1,2,3,4,5音量递增）
1	白天主场景bgm	g2055_mainDayBGM	/sound/g2055_mainDayBGM.mp3	1	1
2	夜晚主场景bgm	g2055_mainNightBGM	/sound/g2055_mainNightBGM.mp3	1	1
3	赌场bgm	g2055_casinoBGM	/sound/g2055_casinoBGM.mp3	1	1
4	服装店bgm	g2055_clothingStoreBGM	/sound/g2055_clothingStoreBGM.mp3	1	1
5	武器店bgm	g2055_weaponStoreBGM	/sound/g2055_weaponStoreBGM.mp3	1	1
6	车店bgm	g2055_carStoreBGM	/sound/g2055_carStoreBGM.mp3	1	1
7	酒吧bgm	g2055_barBGM	/sound/g2055_barBGM.mp3	1	1
8	开车bgm	g2055_drivingBGM	/sound/g2055_drivingBGM.mp3	1	1
9	敌人节点受击	part_hit	/sound/g2055_battle_hitNormal.mp3	0	1
10	我受到伤害	part_hit_critical	/sound/g2055_battle_hitCritical.mp3	0	1
11	霰弹枪开枪	shotgun_shoot	/sound/g2055_shotgun_shot.mp3	0	1
12	AK开枪	ak_shoot	/sound/g2055_goldAK_shoot.mp3	0	1
13	加特林开枪	minigun_shoot	/sound/g2055_minigun_shot.mp3	0	1
14	手枪开枪	pistol_shoot	/sound/g2055_pistol_shoot.mp3	0	1
15	击杀音效	kill_sound	/sound/g2055_battle_kill.mp3	0	1
16	载具爆炸	vehicle_explode	/sound/g2055_vehical_boom.mp3	0	5
17	载具碰撞	vehicle_clash	/sound/g2055_car_clash.mp3	0	1
18	载具被枪打中	vehicle_gun_hit	/sound/g2055_iron_door_attack_sound.mp3	0	1
19	玩家点击“占领”按钮	g2055_clik_territoryButton	/sound/g2055_clik_territoryButton.mp3	0	1
20	占领读条结束或者被打断	g2055_trigger_territoryOccupying	/sound/g2055_trigger_territoryOccupying.mp3	0	1
21	玩家成功占领后	g2055_trigger_territoryOccupiedSuccessfully	/sound/g2055_trigger_territoryOccupiedSuccessfully.mp3	0	1
22	界面确认按钮	g2055_commonButtonSound	/sound/g2055_commonButtonSound.mp3	0	1
23	界面关闭按钮	g2055_commonCloseSound	/sound/g2055_commonCloseSound.mp3	0	1
24	扣除金钱	g2055_commonBuySound	/sound/g2055_commonBuySound.mp3	0	1
25	木门被枪击	g2055_woodDoorAttackSound	/sound/g2055_woodDoorAttackSound.mp3	0	1
26	铁门被枪击	g2055_ironDoorAttackSound	/sound/g2055_ironDoorAttackSound.mp3	0	1
27	金门被枪击	g2055_goldenDoorAttackSound	/sound/g2055_goldenDoorAttackSound.mp3	0	1
28	钻门被枪击	g2055_diamonDoorAttackSound	/sound/g2055_diamonDoorAttackSound.mp3	0	1
29	大门爆炸	g2055_doorBlastSound	/sound/g2055_doorBlastSound.mp3	0	1
30	大门解锁持续	g2055_doorUnlockingSound	/sound/g2055_doorUnlockingSound.mp3	1	1
31	大门解锁成功	g2055_doorUnlockSuccessSound	/sound/g2055_doorUnlockSuccessSound.mp3	0	1
32	大门解锁失败	g2055_doorUnlocFailSound	/sound/g2055_doorUnlocFailSound.mp3	0	1
33	换大门/加建车库	g2055_rebuildSound	/sound/g2055_rebuildSound.mp3	0	1
34	点服装图标	g2055_changeClothesSound	/sound/g2055_changeClothesSound.mp3	0	1
35	点武器图标	g2055_changeWeaponsSound	/sound/g2055_changeWeaponsSound.mp3	0	1
36	点汽车图标	g2055_changeCarsSound	/sound/g2055_changeCarsSound.mp3	0	1
37	确认存钱	g2055_saveMoneySound	/sound/g2055_saveMoneySound.mp3	0	1
38	玩家纹身	g2055_tattooSound	/sound/g2055_tattooSound.mp3	1	1
39	投掷物品时	g2055_throw_throw	/sound/g2055_throw_throw.mp3	0	1
40	脚步声	g2055_common_footstep	/sound/g2055_common_footstep.mp3	0	1
41	按钮点击声音	g2055_click_commonButton	/sound/g2055_click_commonButton.mp3	0	1
42	获取武器音效	g2055_item_pickWeapon	/sound/g2055_item_pickWeapon.mp3	0	1
43	获取金钱音效	g2055_item_pickMoney	/sound/g2055_item_pickMoney.mp3	0	1
44	玻璃瓶碎	g2055_bottle_crash	/sound/g2055_bottle_crash.mp3	0	2
45	击杀音效	g2055_battle_kill	/sound/g2055_battle_kill.mp3	0	1
46	玩家回血音效	g2055_battle_breathHeal	/sound/g2055_battle_breathHeal.mp3	0	1
47	玩家被击杀音效	g2055_battle_getKilled	/sound/g2055_battle_getKilled.mp3	0	1
48	玩家被命中非要害区域	g2055_battle_getHitNormal	/sound/g2055_battle_getHitNormal.mp3	0	1
49	玩家被命中要害区域	g2055_battle_getHitCritical	/sound/g2055_battle_getHitCritical.mp3	0	1
