n_id	s_player_area	n_delta
领地id	占领人数区间	系数
1	1,5	0.2
1	6,10	0.4
1	11,15	0.7
1	16,20	1
1	21,25	1.1
1	26,30	1.2
1	31,#	1.2
2	1,5	0.2
2	6,10	0.4
2	11,15	0.7
2	16,20	1
2	21,25	1.1
2	26,30	1.2
2	31,#	1.2
3	1,5	0.2
3	6,10	0.4
3	11,15	0.7
3	16,20	1
3	21,25	1.1
3	26,30	1.2
3	31,#	1.2
4	1,5	0.2
4	6,10	0.4
4	11,15	0.7
4	16,20	1
4	21,25	1.1
4	26,30	1.2
4	31,#	1.2
5	1,5	0.2
5	6,10	0.4
5	11,15	0.7
5	16,20	1
5	21,25	1.1
5	26,30	1.2
5	31,#	1.2
6	1,5	0.2
6	6,10	0.4
6	11,15	0.7
6	16,20	1
6	21,25	1.1
6	26,30	1.2
6	31,#	1.2
7	1,5	0.2
7	6,10	0.4
7	11,15	0.7
7	16,20	1
7	21,25	1.1
7	26,30	1.2
7	31,#	1.2
