n_id	Unnamed	weapon_damage_level	s_name	s_desc	s_item_icon	s_long_item_icon	s_item_model	s_fire	n_bullet_count	s_part	n_price	n_currency_type	n_bullet_price	n_bullet_currency_type
物品id	备注	1-近战；2-远程；3投掷	多语言	多语言描述	装备图标	装备长图标	物品模型	开火文件	一梭子弹数	部件	武器商店价格	货币id	子弹价格	子弹货币id
101000	拳头	1	g2055_item_punch	g2050.name.gun.desc.110001	gameres|asset/Imageset/g2055_weapons:g2055_punch	gameres|asset/Imageset/g2055_weapons:g2055_punch_01	myplugin/item_g2045_icon_gun_101	myplugin/melee_punch	9999999	gun:g2055_melee_punch	0	3	0	3
101001	投掷酒瓶	1	g2055_item_bottle	g2050.name.gun.desc.110001	gameres|asset/Imageset/g2055_weapons:g2055_throw_bottle	gameres|asset/Imageset/g2055_weapons:g2055_throw_bottle_01	myplugin/item_g2045_icon_gun_101	myplugin/melee_bottle	5	gun:g2055_melee_bottle	5000	3	0	3
101002	指虎	1	g2055_item_knuckles	g2050.name.gun.desc.110001	gameres|asset/Imageset/g2055_weapons:g2055_melee_punch	gameres|asset/Imageset/g2055_weapons:g2055_melee_punch_01	myplugin/item_g2045_icon_gun_101	myplugin/melee_knuckles	50	gun:g2055_melee_knuckles	3000	3	0	3
101003	砍刀	1	g2055_item_machete	g2050.name.gun.desc.110001	gameres|asset/Imageset/g2055_weapons:g2055_machete	gameres|asset/Imageset/g2055_weapons:g2055_machete_01	myplugin/item_g2045_icon_gun_101	myplugin/melee_machete	100	gun:g2055_melee_machete	3000	3	0	3
101004	斧头	1	g2055_item_axe	g2050.name.gun.desc.110001	gameres|asset/Imageset/g2055_weapons:g2055_axe	gameres|asset/Imageset/g2055_weapons:g2055_axe_01	myplugin/item_g2045_icon_gun_101	myplugin/melee_axe	200	gun:g2055_weapon_axe	30000	3	0	3
101005	棒球棍	1	g2055_item_ballbat	g2050.name.gun.desc.110001	gameres|asset/Imageset/g2055_weapons:g2055_ballbat	gameres|asset/Imageset/g2055_weapons:g2055_ballbat_01	myplugin/item_g2045_icon_gun_101	myplugin/melee_ballbat	200	gun:g2055_weapon_ballbat	15000	3	0	3
101006	铁锤	1	g2055_item_hammer	g2050.name.gun.desc.110001	gameres|asset/Imageset/g2055_weapons:g2055_hammer	gameres|asset/Imageset/g2055_weapons:g2055_hammer_01	myplugin/item_g2045_icon_gun_101	myplugin/melee_hammer	100	gun:g2055_weapon_hammer	15000	3	0	3
101007	投掷板砖	1	g2055_item_brick	g2050.name.gun.desc.110001	gameres|asset/Imageset/g2055_weapons:g2055_brick	gameres|asset/Imageset/g2055_weapons:g2055_brick_01	myplugin/item_g2045_icon_gun_101	myplugin/melee_brick	5	gun:g2055_weapon_brick	5000	3	0	3
101008	虎爪	1	g2055_item_tigerpaw	g2050.name.gun.desc.110001	gameres|asset/Imageset/g2055_weapons:g2055_tigerpaw	gameres|asset/Imageset/g2055_weapons:g2055_tigerpaw_01	myplugin/item_g2045_icon_gun_101	myplugin/melee_tigerpaw	200	gun:g2055_weapon_tigerpaw	15000	3	0	3
